# 백과 영어 약어 전수 조사 (총 56종, 항목 172개)
약어            빈도      예시항목                        (맥락 한 줄)
AA            33      alcoholics-anonymous        익명의 알코올중독자(AA)
ADHD          17      adhd-addiction              ADHD와 중독
PTSD          16      dual-diagnosis              …, 불안, ADHD, PTSD 등)이 함께 존재하는 상태다. 두 …
ROSC          16      harm-reduction              …점은 회복지향 시스템(ROSC)이 예방부터 회복까지를 하나로 잇는…
HIV           13      canada-scs                  …ite가 과용 사망과 HIV 감염을 줄이고, 공공장소 사용·주사…
HPPD          11      flashbacks                  …속·반복되면 지각장애(HPPD)로 이어질 수 있으며, 트라우마의 …
WHO           11      decriminalization           비범죄화는 UNODC·WHO·인권기구가 지지하는 공중보건·인권 …
DSM           10      caffeine                    …등 금단이 나타난다. DSM은 카페인 금단·중독을 인정하되 '카…
GA            10      alcoholics-anonymous        AA는 NA·GA 등 수많은 12단계 모임의 모태가 …
DSM-5-TR      9       dsm                         … 기준서로, 현행판은 DSM-5-TR이다. 세계 연구·임상에서 널리 쓰이…
GLP-1         9       glp1-and-craving            GLP-1 약물과 갈망
ICD-11        9       behavioral-addiction        … 도박장애(DSM-5·ICD-11)와 게임장애(ICD-11)뿐이다. …
MDMA          9       mdma-ecstasy                엑스터시(MDMA)
PCP           9       hallucinogens               …린)와 해리성(케타민·PCP)으로 나뉜다. 신체적 의존성은 낮은…
SMART         9       alcoholics-anonymous        …맞는 것은 아니어서, SMART 리커버리 같은 세속적 대안이 함께 …
LSD           8       hallucinogens               …용하는 고전적 환각제(LSD·실로시빈·메스칼린)와 해리성(케타민…
MAT           8       medication-assisted-treatment약물보조치료(MAT)
NA            8       alcoholics-anonymous        AA는 NA·GA 등 수많은 12단계 모임의 모…
CBD           7       cannabinoids                … 식물의 성분(THC·CBD 등)과 이에 작용하는 물질군으로, …
GABA          7       barbiturates                …널리 쓰인 억제제로, GABA 작용을 강화한다. 안전 용량과 치사…
GHB           7       ghb                         GHB
OCD           7       compulsion-impulse          …독의 강박은 강박장애(OCD)의 강박과 유사하지만 다르다. 중독…
THC           7       cannabinoids                대마 식물의 성분(THC·CBD 등)과 이에 작용하는 물질군…
HAT           6       heroin                      …가는 헤로인 보조치료(HAT)로 만성 사용자를 관리한다.
UNODC         6       decriminalization           비범죄화는 UNODC·WHO·인권기구가 지지하는 공중보건…
CBT           5       cognitive-behavioral        …훈련하는 인지행동치료(CBT)의 이론적 토대다. 재발을 유발하는…
DSM-5         5       behavioral-addiction        … 행동중독은 도박장애(DSM-5·ICD-11)와 게임장애(ICD-1…
ICD           5       compulsive-shopping         강박적 구매는 DSM·ICD의 독립 진단이 아니다. 충동조절장애…
ACE           4       trauma-addiction            … 유년기 부정적 경험(ACE)이 성인기 중독 위험을 크게 높인다…
DBT           3       emotion-regulation          …는 변증법적 행동치료(DBT)는 고통 감내·정서조절 기술을 핵심…
AVE           2       relapse                     …'는 절제 위반 효과(AVE)가 실수를 재발로 키우는 심리 기제…
CRAFT         2       family-therapy              …DFT), 가족 대상 CRAFT 등은 근거가 축적된 접근이다. 이들…
CRF           2       allostasis                  …과 뇌 스트레스 체계(CRF 등)의 활성화를 강조한다. 이 변화…
CSA           2       controlled-substances-act   … 법 체계로, 미국의 CSA가 대표적이다. 분류는 연구·처방·처…
DSM-IV        2       dependence-vs-addiction     DSM-IV까지 '의존(dependence)'이…
EVALI         2       vaping-ecigarettes          EVALI와 제품 다양화
FOMO          2       social-media-addiction      … 놓침에 대한 두려움(FOMO), 청소년 정신건강과의 연관이 핵심…
NMDA          2       ketamine                    케타민은 NMDA 수용체 길항 등 기존 항우울제와 다…
OARS          2       motivational-interviewing   핵심 기법(OARS)
SCS           2       canada-scs                  …운영하는 안전소비시설(SCS)로, 사용자가 가져온 약물을 훈련된…
SNS           2       anabolic-steroids           건강·피트니스 담론과 SNS의 몸 이미지 문화가 스테로이드 남용…
VTA           2       mesolimbic-dopamine         복측피개영역(VTA)에서 측좌핵으로 이어지는 뇌의 핵심…
BARC-10       1       recovery-capital            …적 토대가 되었으며, BARC-10 같은 측정 도구도 개발됐다.
CB1           1       cannabinoids                …비노이드와 그 수용체(CB1·CB2)로 이뤄진 조절 체계가 있어…
CB2           1       cannabinoids                …와 그 수용체(CB1·CB2)로 이뤄진 조절 체계가 있어, 식욕…
CIWA          1       detoxification              …아제핀을 이용한 관리(CIWA-Ar 척도 기반), 아편류 금단에는…
EMCDDA        1       swiss-four-pillars          …한 가치가 입증됐고, EMCDDA·코크란 리뷰 등이 건강·사회적 기능…
GABA-A        1       benzodiazepines             벤조디아제핀은 GABA-A 수용체의 작용을 강화하며, 반복 사…
HPA           1       trauma-addiction            … 스트레스 반응 체계(HPA축)와 뇌 발달을 변화시켜, 정서 조…
HT2A          1       hallucinogens               …는 주로 세로토닌 5-HT2A 수용체에 작용해 지각·인지를 변형한…
MBRP          1       relapse-prevention          …음챙김 기반 재발예방(MBRP)처럼 갈망을 억누르기보다 판단 없이…
MDFT          1       family-therapy              …에서 다차원 가족치료(MDFT), 가족 대상 CRAFT 등은 근거…
MOUD          1       medication-assisted-treatment…게 한다는 비판에서, MOUD(아편류사용장애 약물치료)라는 용어가…
NIDA          1       nora-volkow                 …국 국립약물남용연구소(NIDA) 소장을 맡고 있다. 뇌영상 연구를…
PAWS          1       withdrawal                  …속되는 '지속성 금단(PAWS)'이 나타날 수 있다. 이 시기가 …
UNAIDS        1       harm-reduction              …에서 근거가 두텁고, UNAIDS·WHO 등 국제기구가 지지하는 접근…
